comentario,tokens_limpios,features
Muy bien justo lo que pedi y rapida la entrega,"['bien', 'justo', 'pedi', 'rapida', 'entrega']",[0. 0. 0. ... 0. 0. 0.]
Deja la piel aterciopelada. Solo que esperaba que venga con espejo,"['deja', 'piel', 'aterciopelada', 'solo', 'esperaba', 'venga', 'espejo']",[0. 0. 0. ... 0. 0. 0.]
"Todo súper bien , era lo que esperaba","['súper', 'bien', 'esperaba']",[0. 0. 0. ... 0. 0. 0.]
"Es muy buena calidad, excelente producto, mi preferido El mejor producto, lo vengo recomendando a mis amistades y ya han comprado también, por mis recomendaciones🥰","['buena', 'calidad', 'excelente', 'producto', 'preferido', 'mejor', 'producto', 'vengo', 'recomendando', 'amistades', 'comprado', 'recomendaciones']",[0. 0. 0. ... 0. 0. 0.]
Me encanta lo utilizo hace años. El efecto mate en mi piel me gusta mucho,"['encanta', 'utilizo', 'hace', 'años', 'efecto', 'mate', 'piel', 'gusta']",[0. 0. 0. ... 0. 0. 0.]
"Muy buena, color, textura, tal cual la foto la mejor compra","['buena', 'color', 'textura', 'tal', 'foto', 'mejor', 'compra']",[0. 0. 0. ... 0. 0. 0.]
"Es un excelente producto,el Protector solar tiene buena textura y acabado mate. Es el mejorr.","['excelente', 'productoel', 'protector', 'solar', 'buena', 'textura', 'acabado', 'mate', 'mejorr']",[0. 0. 0. ... 0. 0. 0.]
Es igual a la foto y me encanta,"['igual', 'foto', 'encanta']",[0. 0. 0. ... 0. 0. 0.]
El producto llegó bien y antes de la fecha,"['producto', 'llegó', 'bien', 'fecha']",[0. 0. 0. ... 0. 0. 0.]
"El bloqueador se adecua a mi piel, no me deja residuos y es amable con mi piel","['bloqueador', 'adecua', 'piel', 'deja', 'residuos', 'amable', 'piel']",[0. 0. 0. ... 0. 0. 0.]
"ayuda bastante a las que sufrimos de melasma, xq disimula","['ayuda', 'bastante', 'sufrimos', 'melasma', 'xq', 'disimula']",[0. 0. 0. ... 0. 0. 0.]
"Muy buen producto, excelente condición y fecha de expiracion legible.","['buen', 'producto', 'excelente', 'condición', 'fecha', 'expiracion', 'legible']",[0. 0. 0. ... 0. 0. 0.]
"El bloqueador es muy bueno y te deja el rostro mate, como si estuvieras usando una base súper sutil . Amo este producto","['bloqueador', 'bueno', 'deja', 'rostro', 'mate', 'si', 'usando', 'base', 'súper', 'sutil', 'amo', 'producto']",[0. 0. 0. ... 0. 0. 0.]
Muy buena calidad y precio,"['buena', 'calidad', 'precio']",[0. 0. 0. ... 0. 0. 0.]
producto de buena calidad y con el color adecuado para el tono de piel,"['producto', 'buena', 'calidad', 'color', 'adecuado', 'tono', 'piel']",[0. 0. 0. ... 0. 0. 0.]
Tiene una excelente calidad y está igual al de la foto,"['excelente', 'calidad', 'igual', 'foto']",[0. 0. 0. ... 0. 0. 0.]
"El tamaño, la cantidad y la calidad. Todo excelente","['tamaño', 'cantidad', 'calidad', 'excelente']",[0. 0. 0. ... 0. 0. 0.]
"El tamaño corresponde, es un excelente producto","['tamaño', 'corresponde', 'excelente', 'producto']",[0. 0. 0. ... 0. 0. 0.]
"El tamaño corresponde, idéntico a la foto y de buena calidad","['tamaño', 'corresponde', 'idéntico', 'foto', 'buena', 'calidad']",[0. 0. 0. ... 0. 0. 0.]
La piel se ve bonita natural ya no necesitas usar base,"['piel', 've', 'bonita', 'natural', 'necesitas', 'usar', 'base']",[0. 0. 0. ... 0. 0. 0.]
"Excelente, tiene color y deja super suave la piel.","['excelente', 'color', 'deja', 'super', 'suave', 'piel']",[0. 0. 0. ... 0. 0. 0.]
Si corresponde a la foto,"['si', 'corresponde', 'foto']",[0. 0. 0. ... 0. 0. 0.]
"Es de buena calidad y llego intacto, el codigo también pertenece al producto","['buena', 'calidad', 'llego', 'intacto', 'codigo', 'pertenece', 'producto']",[0. 0. 0. ... 0. 0. 0.]
Es de buena calidad y el tamaño corresponde a la foto,"['buena', 'calidad', 'tamaño', 'corresponde', 'foto']",[0. 0. 0. ... 0. 0. 0.]
El producto es ideal para mi cara!,"['producto', 'ideal', 'cara']",[0. 0. 0. ... 0. 0. 0.]
Es de buena calidad y cumple con lo que ofrece,"['buena', 'calidad', 'cumple', 'ofrece']",[0. 0. 0. ... 0. 0. 0.]
"El producto es de muy buena calidad, corresponde al tamaño y es tal cual la foto","['producto', 'buena', 'calidad', 'corresponde', 'tamaño', 'tal', 'foto']",[0. 0. 0. ... 0. 0. 0.]
Te deja el efecto velvet muy bonito ☺️,"['deja', 'efecto', 'velvet', 'bonito']",[0. 0. 0. ... 0. 0. 0.]
"Me encanta este producto , lo recomiendo","['encanta', 'producto', 'recomiendo']",[0. 0. 0. ... 0. 0. 0.]
Es muy buena la calidad. Lo encontré a mejor precios que otras tiendas. Recomendado,"['buena', 'calidad', 'encontré', 'mejor', 'precios', 'tiendas', 'recomendado']",[0. 0. 0. ... 0. 0. 0.]
Es un bloqueador que no es pesado. La textura es maravillosa,"['bloqueador', 'pesado', 'textura', 'maravillosa']",[0. 0. 0. ... 0. 0. 0.]
"Buen producto en calidad, llegó rápido","['buen', 'producto', 'calidad', 'llegó', 'rápido']",[0. 0. 0. ... 0. 0. 0.]
"El tamaño, calidad y color son perfectos","['tamaño', 'calidad', 'color', 'perfectos']",[0. 0. 0. ... 0. 0. 0.]
"El producto es igual a la foto, de buena calidad y buena presentación","['producto', 'igual', 'foto', 'buena', 'calidad', 'buena', 'presentación']",[0. 0. 0. ... 0. 0. 0.]
